14:08:17.153 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
14:08:17.164 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
14:08:17.174 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
14:08:17.174 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
14:08:17.174 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_0000F270 (PID-specific).
14:08:17.174 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_0000F270 (PID-specific) has no value.
14:08:17.174 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
14:08:17.209 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=39ms
14:08:17.209 |V| JetEnvironment                | :1                 | HostInit phase completed.
14:08:17.209 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
14:08:17.226 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
14:08:17.238 |V| DeployedPackages              | :1                 | Scanning folder “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
